x,y,state
-86.7509,32.5901,AL
-127.25,49.25,AK
-111.625,34.2192,AZ
-92.2992,34.7336,AR
-119.773,36.5341,CA
-105.513,38.6777,CO
-72.3573,41.5928,CT
-74.9841,38.6777,DE
-81.685,27.8744,FL
-83.3736,32.3329,GA
-126.25,31.75,HI
-113.93,43.5648,ID
-89.3776,40.0495,IL
-86.0808,40.0495,IN
-93.3714,41.9358,IA
-98.1156,38.4204,KS
-84.7674,37.3915,KY
-92.2724,30.6181,LA
-68.9801,45.6226,ME
-76.6459,39.2778,MD
-71.58,42.3645,MA
-84.687,43.1361,MI
-94.6043,46.3943,MN
-89.8065,32.6758,MS
-92.5137,38.3347,MO
-109.32,46.823,MT
-99.5898,41.3356,NE
-116.851,39.1063,NV
-71.3924,43.3934,NH
-74.2336,39.9637,NJ
-105.942,34.4764,NM
-75.1449,43.1361,NY
-78.4686,35.4195,NC
-100.099,47.2517,ND
-82.5963,40.221,OH
-97.1239,35.5053,OK
-120.068,43.9078,OR
-77.45,40.9069,PA
-71.1244,41.5928,RI
-80.5056,33.619,SC
-99.7238,44.3365,SD
-86.456,35.6767,TN
-98.7857,31.3897,TX
-111.33,39.1063,UT
-72.545,44.2508,VT
-78.2005,37.563,VA
-119.746,47.4231,WA
-80.6665,38.4204,WV
-89.9941,44.5937,WI
-107.256,43.0504,WY
